Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,1/1/21,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,750,"$487,500 ","$121,875 ",25%,Outlet
Kohl's,1189833,1/1/21,Midwest,Montana,Billings,Men's Apparel,$50.00 ,275,"$137,500 ","$82,500 ",60%,Outlet
West Gear,1128299,1/1/21,West,California,San Francisco,Men's Athletic Footwear,$64.00 ,225,"$14,400 ","$5,184 ",36%,Online
Kohl's,1189833,1/1/21,Midwest,Montana,Billings,Men's Apparel,$47.00 ,77,"$3,619 ","$2,714 ",75%,Online
West Gear,1128299,1/1/21,West,California,San Francisco,Men's Athletic Footwear,$51.00 ,233,"$11,883 ","$3,208 ",27%,Outlet
West Gear,1128299,1/2/21,West,California,San Francisco,Women's Street Footwear,$65.00 ,750,"$487,500 ","$195,000 ",40%,Outlet
Kohl's,1189833,1/2/21,Midwest,Montana,Billings,Women's Apparel,$45.00 ,475,"$213,750 ","$53,438 ",25%,Outlet
West Gear,1128299,1/2/21,West,California,San Francisco,Women's Street Footwear,$60.00 ,218,"$13,080 ","$6,671 ",51%,Online
Kohl's,1189833,1/2/21,Midwest,Montana,Billings,Women's Apparel,$43.00 ,138,"$5,934 ","$2,314 ",39%,Online
West Gear,1128299,1/2/21,West,California,San Francisco,Women's Street Footwear,$46.00 ,225,"$10,350 ","$4,554 ",44%,Outlet
West Gear,1128299,1/3/21,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,650,"$390,000 ","$136,500 ",35%,Outlet
Kohl's,1189833,1/3/21,Midwest,Montana,Billings,Men's Street Footwear,$35.00 ,525,"$183,750 ","$82,688 ",45%,Outlet
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Street Footwear,$30.00 ,450,"$135,000 ","$40,500 ",30%,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Athletic Footwear,$30.00 ,250,"$75,000 ","$26,250 ",35%,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Street Footwear,$20.00 ,250,"$50,000 ","$15,000 ",30%,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Athletic Footwear,$25.00 ,100,"$25,000 ","$7,500 ",30%,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Apparel,$40.00 ,150,"$60,000 ","$30,000 ",50%,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Apparel,$30.00 ,250,"$75,000 ","$30,000 ",40%,In-store
West Gear,1128299,1/3/21,West,California,San Francisco,Women's Athletic Footwear,$56.00 ,182,"$10,192 ","$4,586 ",45%,Online
Kohl's,1189833,1/3/21,Midwest,Montana,Billings,Men's Street Footwear,$34.00 ,158,"$5,372 ","$3,062 ",57%,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Street Footwear,$28.00 ,126,"$3,528 ","$1,588 ",45%,Online
